iter	Passed	Remaining
413	3304	2282
414	3312	2275
415	3320	2266
416	3327	2258
417	3335	2250
418	3342	2241
419	3350	2233
420	3357	2225
421	3365	2216
422	3372	2208
423	3380	2200
424	3387	2192
425	3395	2183
426	3402	2175
427	3410	2167
428	3417	2158
429	3424	2150
430	3432	2142
431	3439	2133
432	3447	2125
433	3455	2117
434	3463	2109
435	3470	2101
436	3478	2093
437	3485	2085
438	3493	2076
439	3501	2068
440	3509	2060
441	3516	2052
442	3524	2044
443	3531	2036
444	3539	2028
445	3547	2020
446	3555	2012
447	3563	2004
448	3571	1996
449	3578	1988
450	3586	1980
451	3593	1971
452	3601	1963
453	3608	1955
454	3616	1947
455	3623	1938
456	3630	1930
457	3638	1922
458	3645	1914
459	3653	1906
460	3660	1897
461	3668	1889
462	3675	1881
463	3683	1873
464	3690	1865
465	3698	1857
466	3706	1849
467	3713	1840
468	3721	1832
469	3728	1824
470	3736	1816
471	3743	1808
472	3751	1800
473	3759	1792
474	3766	1784
475	3774	1776
476	3781	1768
477	3789	1759
478	3796	1751
479	3804	1743
480	3811	1735
481	3819	1727
482	3826	1719
483	3834	1711
484	3841	1703
485	3848	1694
486	3856	1686
487	3863	1678
488	3871	1670
489	3878	1662
490	3886	1654
491	3893	1646
492	3901	1638
493	3909	1630
494	3916	1622
495	3924	1613
496	3931	1605
497	3938	1597
498	3946	1589
499	3953	1581
500	3961	1573
501	3968	1565
502	3976	1557
503	3984	1549
504	3991	1541
505	3999	1533
506	4006	1525
507	4014	1517
508	4021	1509
509	4029	1501
510	4037	1493
511	4044	1485
512	4052	1477
513	4059	1469
514	4066	1460
515	4074	1452
516	4081	1444
517	4089	1437
518	4097	1428
519	4105	1420
520	4112	1412
521	4119	1404
522	4127	1396
523	4135	1388
524	4142	1380
525	4149	1372
526	4157	1364
527	4165	1356
528	4172	1348
529	4180	1340
530	4187	1332
531	4195	1324
532	4202	1316
533	4210	1308
534	4217	1300
535	4225	1292
536	4233	1284
537	4241	1277
538	4248	1269
539	4256	1261
540	4264	1253
541	4273	1245
542	4281	1237
543	4289	1230
544	4297	1222
545	4305	1214
546	4312	1206
547	4320	1198
548	4327	1190
549	4335	1182
550	4342	1174
551	4349	1166
552	4357	1158
553	4364	1150
554	4372	1142
555	4380	1134
556	4387	1126
557	4395	1118
558	4403	1110
559	4410	1102
